ID,Title,Abstract,Publication Year,Authors,Related_Topics,Citation Count,Reference Count
204812415,Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl,,2019,"Juan C. Caicedo,A. Goodman,Kyle W. Karhohs,B. Cimini,Jeanelle Ackerman,Marzieh Haghighi,Cherkeng Heng,Tim Becker,M. Doan,C. McQuin,M. Rohban,Shantanu Singh,Anne E Carpenter","Medicine,Computer Science",427,53
227126845,Multiresolution Knowledge Distillation for Anomaly Detection,"Unsupervised representation learning has proved to be a critical component of anomaly detection/localization in images. The challenges to learn such a representation are two-fold. Firstly, the sample size is not often large enough to learn a rich generalizable representation through conventional techniques. Secondly, while only normal samples are available at training, the learned features should be discriminative of normal and anomalous samples. Here, we propose to use the ""distillation"" of features at various layers of an expert network, which is pre-trained on ImageNet, into a simpler cloner network to tackle both issues. We detect and localize anomalies using the discrepancy between the expert and cloner networks’ intermediate activation values given an input sample. We show that considering multiple intermediate hints in distillation leads to better exploitation of the expert’s knowledge and a more distinctive discrepancy between the two networks, compared to utilizing only the last layer activation values. Notably, previous methods either fail in precise anomaly localization or need expensive region-based training. In contrast, with no need for any special or intensive training procedure, we incorporate interpretability algorithms in our novel framework to localize anomalous regions. Despite the striking difference between some test datasets and ImageNet, we achieve competitive or significantly superior results compared to SOTA on MNIST, F-MNIST, CIFAR-10, MVTecAD, Retinal-OCT, and two other medical datasets on both anomaly detection and localization.",2020,"Mohammadreza Salehi,Niousha Sadjadi,Soroosh Baselizadeh,M. Rohban,H. Rabiee",Computer Science,217,62
10706307,Data-analysis strategies for image-based cell profiling,,2017,"Juan C. Caicedo,Sam Cooper,Florian Heigwer,Scott Warchal,P. Qiu,Csaba Molnar,A. Vasilevich,Joseph D Barry,Harmanjit Singh Bansal,Oren Z. Kraus,Mathias Wawer,L. Paavolainen,M. Herrmann,M. Rohban,Jane Hung,H. Hennig,J. Concannon,Ian Smith,P. Clemons,Shantanu Singh,P. Rees,P. Horváth,Roger G. Linington,Anne E Carpenter","Medicine,Computer Science",483,154
14176792,Minimax Optimal Sparse Signal Recovery With Poisson Statistics,"We are motivated by problems that arise in a number of applications such as Online Marketing and Explosives detection, where the observations are usually modeled using Poisson statistics. We model each observation as a Poisson random variable whose mean is a sparse linear superposition of known patterns. Unlike many conventional problems observations here are not identically distributed since they are associated with different sensing modalities. We analyze the performance of a maximum likelihood (ML) decoder, which for our Poisson setting involves a non-linear optimization but yet is computationally tractable. We derive fundamental sample complexity bounds for sparse recovery when the measurements are contaminated with Poisson noise. In contrast to the least-squares linear regression setting with Gaussian noise, we observe that in addition to sparsity, the scale of the parameters also fundamentally impacts l2 error in the Poisson setting. We show that our upper bounds are tight under suitable regularity conditions. Specifically, we derive a minimax matching lower bound on the mean-squared error and show that our constrained ML decoder is minimax optimal for this regime.",2015,"M. Rohban,Venkatesh Saligrama,Delaram Motamed Vaziri","Computer Science,Mathematics",14,25
212675673,ARAE: Adversarially Robust Training of Autoencoders Improves Novelty Detection,,2020,"Mohammadreza Salehi,Atrin Arya,Barbod Pajoum,Mohammad Otoofi,Amirreza Shaeiri,M. Rohban,H. Rabiee","Computer Science,Medicine",42,49
8959730,Inhibition of TGFβ Signaling Promotes Ground State Pluripotency,,2013,"Seyedeh-Nafiseh Hassani,M. Totonchi,A. Sharifi-Zarchi,Sepideh Mollamohammadi,Mohammad Pakzad,S. Moradi,A. Samadian,N. Masoudi,Shahab Mirshahvaladi,A. Farrokhi,B. Greber,M. Araúzo-Bravo,D. Sabour,M. Sadeghi,G. Salekdeh,H. Gourabi,H. Schöler,H. Baharvand","Biology,Medicine",63,40
206250519,Treatment of human embryonic stem cells with different combinations of priming and inducing factors toward definitive endoderm.,"Despite the enormous progress in studying definitive endoderm (DE) differentiation from human embryonic stem cells (hESCs), none of the reported protocols have produced a universal, cost-effective, and competent DE with the capability to further differentiate into endodermal derivatives. In this study, by using a 2-step differentiation strategy, we have treated hESCs for 1 day with ""priming"" small molecules (SM), [stauprimide, NSC-308848, rapamycin (Rapa), and/or CHIR] and for the next 3 days with ""inducing"" SM (LY294002, cymarin, IDE1, and/or IDE2) in conjunction with activin A. In the positive control group, we treated hESCs with Wnt3a (25 ng/mL) for 1 day and activin A (100 ng/mL; W/A100-A100) for the next 3 days. Gene expression analysis showed that treatment of hESCs with 100 nM Rapa and 50 ng/mL activin A (Rapa-A50) out of 25 combinations of factors gave rise to higher expressions of 2 DE-specific genes, SOX17 and FOXA2. Similar results were obtained after treating 2 other hESC lines with this regimen. To investigate the competency of Rapa-A50-induced DE for further differentiation into endodermal derivatives, these cells and W/A100-A100-induced DE cells (positive control) were further differentiated into pancreatic progenitors (PP), then into pancreatic endocrine (PE) cells using 5 previously described differentiation protocols. Gene analysis of differentiated cells showed that the established protocols were insufficient to enable universal differentiation into PE, whereas Rapa-A50-induced DE cells were more competent for PP differentiation in a protocol-dependent manner. Additionally, Rapa-A50-induced DE had the capability to differentiate into hepatocyte-like cells (HLCs) as efficiently as W/A100-A100-induced DE. These data have indicated that hESCs primed with Rapa, and induced by a lower concentration of activin A, could lead to DE that had the capability to further differentiate into HLCs and PP cells, but not PE cells. Thus, current protocols for the differentiation of DE into PE still need additional study.",2013,"Y. Tahamtani,M. Azarnia,A. Farrokhi,A. Sharifi-Zarchi,N. Aghdami,H. Baharvand","Biology,Medicine",37,53
211122907,Graph Traversal Edit Distance and Extensions,"Many problems in applied machine learning deal with graphs (also called networks), including social networks, security, web data mining, protein function prediction, and genome informatics. The kernel paradigm beautifully decouples the learning algorithm from the underlying geometric space, which renders graph kernels important for the aforementioned applications. In this article, we give a new graph kernel, which we call graph traversal edit distance (GTED). We introduce the GTED problem and give the first polynomial time algorithm for it. Informally, the GTED is the minimum edit distance between two strings formed by the edge labels of respective Eulerian traversals of the two graphs. Also, GTED is motivated by and provides the first mathematical formalism for sequence co-assembly and de novo variation detection in bioinformatics. We demonstrate that GTED admits a polynomial time algorithm using a linear program in the graph product space that is guaranteed to yield an integer solution. To the best of our knowledge, this is the first approach to this problem. We also give a linear programming relaxation algorithm for a lower bound on GTED. We use GTED as a graph kernel and evaluate it by computing the accuracy of a support vector machine (SVM) classifier on a few data sets in the literature. Our results suggest that our kernel outperforms many of the common graph kernels in the tested data sets. As a second set of experiments, we successfully cluster viral genomes using GTED on their assembly graphs obtained from de novo assembly of next-generation sequencing reads.",2020,"A. Boroojeny,Akash Shrestha,A. Sharifi-Zarchi,S. Gallagher,S. C. Sahinalp,H. Chitsaz","Computer Science,Medicine",4,46
8324116,DNA methylation regulates discrimination of enhancers from promoters through a H3K4me1-H3K4me3 seesaw mechanism,,2017,"A. Sharifi-Zarchi,Daniela Gerovska,Kenjiro Adachi,M. Totonchi,H. Pezeshk,R. Taft,H. Schöler,H. Chitsaz,M. Sadeghi,H. Baharvand,M. Araúzo-Bravo","Medicine,Biology",79,112
54584061,Downregulation of Extracellular Matrix and Cell Adhesion Molecules in Cumulus Cells of Infertile Polycystic Ovary Syndrome Women With and Without Insulin Resistance,"Objective The extracellular matrix (ECM) of the cumulus oocyte complex (COC) is composed of several molecules that have different roles during follicle development. This study aims to explore gene expression profiles for ECM and cell adhesion molecules in the cumulus cells of polycystic ovary syndrome (PCOS) patients based on their insulin sensitivity following controlled ovarian stimulation (COS). Materials and Methods In this prospective case-control study enrolled 23 women less than 36 years of age who participated in an intracytoplasmic sperm injection (ICSI) program. Patients were subdivided into 3 groups: control (n=8, fertile women with male infertility history), insulin resistant (IR) PCOS (n=7), and insulin sensitive (IS) PCOS (n=8). We compared 84 ECM component and adhesion molecule gene expressions by quantitative real-time polymerase chain reaction array (qPCR-array) among the groups. Results We noted that 21 of the 84 studied genes differentially expressed among the groups, from which 18 of these genes downregulated. Overall, comparison of PCOS cases with controls showed downregulation of extracellular matrix protein 1 (ECM1); catenin (cadherin-associated protein), alpha 1 (CTNNA1); integrin, alpha 5 (ITGA5); laminin, alpha 3 (LAMA3); laminin, beta 1 (LAMB1); fibronectin 1 (FN1); and integrin, alpha 7 (ITGA7). In the IS group, there was upregulation of ADAM metallopeptidase with thrombospondin type 1 motif, 8 (ADAMTS8) and neural cell adhesion molecule 1 (NCAM1) compared with the controls (P<0.05). Conclusion Downregulation of ECM and cell adhesion molecules seem to be related to PCOS. Gene expression profile alterations in cumulus cells from both the IS and IR groups of PCOS patients seems to be involved in the composition and regulation of ECM during the ovulation process. This study highlights the association of ECM gene alteration as a viewpoint for additional understanding of the etiology of PCOS.",2018,"F. Hassani,S. Oryan,P. Eftekhari-Yazdi,M. Bazrgar,A. Moini,N. Nasiri,A. Sharifi-Zarchi","Medicine,Biology",24,41
232145932,Transformer-based deep neural network language models for Alzheimer’s disease risk assessment from targeted speech,,2021,"A. Roshanzamir,H. Aghajan,Mahdieh Soleymani Baghshah","Computer Science,Medicine",50,55
235097481,MG-BERT: Multi-Graph Augmented BERT for Masked Language Modeling,"Pre-trained models like Bidirectional Encoder Representations from Transformers (BERT), have recently made a big leap forward in Natural Language Processing (NLP) tasks. However, there are still some shortcomings in the Masked Language Modeling (MLM) task performed by these models. In this paper, we first introduce a multi-graph including different types of relations between words. Then, we propose Multi-Graph augmented BERT (MG-BERT) model that is based on BERT. MG-BERT embeds tokens while taking advantage of a static multi-graph containing global word co-occurrences in the text corpus beside global real-world facts about words in knowledge graphs. The proposed model also employs a dynamic sentence graph to capture local context effectively. Experimental results demonstrate that our model can considerably enhance the performance in the MLM task.",2021,"Parishad BehnamGhader,Hossein Zakerinia,Mahdieh Soleymani Baghshah",Computer Science,2,29
196551931,Deep Learning-Based Proarrhythmia Analysis Using Field Potentials Recorded From Human Pluripotent Stem Cells Derived Cardiomyocytes,"An early characterization of drug-induced cardiotoxicity may be possible by combining comprehensive in vitro proarrhythmia assay and deep learning techniques. We aimed to develop a method to automatically detect irregular beating rhythm of field potentials recorded from human pluripotent stem cells (hPSC) derived cardiomyocytes (hPSC-CM) by multi-electrode array (MEA) system. We included field potentials from 380 experiments, which were labeled as normal or arrhythmic by electrophysiology experts. Convolutional and recurrent neural networks (CNN and RNN) were employed for automatic classification of field potential recordings. A preparation phase was initially applied to split 60-s long recordings into a series of 5-s windows. Subsequently, the classification phase comprising of two main steps was designed and applied. The first step included the classification of 5-s windows by using a designated CNN. While, the results of 5-s window assessments were used as the input sequence to an RNN that aggregates these results in the second step. The output was then compared to electrophysiologist-level arrhythmia detection, resulting in 0.83 accuracy, 0.93 sensitivity, 0.70 specificity, and 0.80 precision. In summary, this paper introduces a novel method for automated analysis of “irregularity” in an in vitro model of cardiotoxicity experiments. Thus, our method may overcome the drawbacks of using predesigned features that restricts the classification performance to the comprehensiveness and the quality of the designed features. Furthermore, automated analysis may facilitate the quality control experiments through the procedure of drug development with respect to cardiotoxicity and avoid late drug attrition from market.",2019,"Zeinab Golgooni,Sara Mirsadeghi,Mahdieh Soleymani Baghshah,P. Ataee,H. Baharvand,S. Pahlavan,H. Rabiee",Computer Science,7,46
9801881,An attribute learning method for zero-shot recognition,"Recently, the problem of integrating side information about classes has emerged in the learning settings like zero-shot learning. Although using multiple sources of information about the input space has been investigated in the last decade and many multi-view and multi-modal learning methods have already been introduced, the attribute learning for classes (output space) is a new problem that has been attended in the last few years. In this paper, we propose an attribute learning method that can use different sources of descriptions for classes to find new attributes that are more proper to be used as class signatures. Experimental results show that the learned attributes by the proposed method can improve the accuracy of the state-of-the-art zero-shot learning methods.",2017,"Ramtin Yazdanian,Seyed Mohsen Shojaee,Mahdieh Soleymani Baghshah",Computer Science,0,29
220403407,A Distilled Model for Tracking and Tracker Fusion,"Visual object tracking was generally tackled by reasoning independently on fast processing algorithms, accurate online adaptation methods, and fusion of trackers. In this paper, we unify such goals by proposing a novel tracking methodology that takes advantage of other visual trackers, offline and online. A compact student model is trained via the marriage of knowledge distillation and reinforcement learning. The first allows to transfer and compress tracking knowledge of other trackers. The second enables the learning of evaluation measures which are then exploited online. After learning, the student can be ultimately used to build (i) a very fast single-shot tracker, (ii) a tracker with a simple and effective online adaptation mechanism, (iii) a tracker that performs fusion of other trackers. Extensive validation shows that the proposed algorithms compete with state-of-the-art trackers while running in real-time.",2020,"Matteo Dunnhofer,N. Martinel,C. Micheloni",Computer Science,4,88
220364434,Jointly Modeling Motion and Appearance Cues for Robust RGB-T Tracking,"In this study, we propose a novel RGB-T tracking framework by jointly modeling both appearance and motion cues. First, to obtain a robust appearance model, we develop a novel late fusion method to infer the fusion weight maps of both RGB and thermal (T) modalities. The fusion weights are determined by using offline-trained global and local multimodal fusion networks, and then adopted to linearly combine the response maps of RGB and T modalities. Second, when the appearance cue is unreliable, we comprehensively take motion cues, i.e., target and camera motions, into account to make the tracker robust. We further propose a tracker switcher to switch the appearance and motion trackers flexibly. Numerous results on three recent RGB-T tracking datasets show that the proposed tracker performs significantly better than other state-of-the-art algorithms.",2020,"Pengyu Zhang,Jie Zhao,Chunjuan Bo,Dong Wang,Huchuan Lu,Xiaoyun Yang","Medicine,Computer Science",78,70
220363592,Alpha-Refine: Boosting Tracking Performance by Precise Bounding Box Estimation,"Visual object tracking aims to precisely estimate the bounding box for the given target, which is a challenging problem due to factors such as deformation and occlusion. Many recent trackers adopt the multiple-stage strategy to improve bounding box estimation. These methods first coarsely locate the target and then refine the initial prediction in the following stages. However, existing approaches still suffer from limited precision, and the coupling of different stages severely restricts the method’s transferability. This work proposes a novel, flexible, and accurate refinement module called Alpha-Refine (AR), which can significantly improve the base trackers’ box estimation quality. By exploring a series of design options, we conclude that the key to successful refinement is extracting and maintaining detailed spatial information as much as possible. Following this principle, Alpha-Refine adopts a pixel-wise correlation, a corner prediction head, and an auxiliary mask head as the core components. Comprehensive experiments on TrackingNet, LaSOT, GOT-10K, and VOT2020 benchmarks with multiple base trackers show that our approach significantly improves the base tracker’s performance with little extra latency. The proposed Alpha-Refine method leads to a series of strengthened trackers, among which the ARSiamRPN (AR strengthened SiamRPNpp) and the ARDiMP50 (AR strengthened DiMP50) achieve good efficiency-precision trade-off, while the ARDiMPsuper (AR strengthened DiMPsuper) achieves very competitive performance at a realtime speed. Code and pretrained models are available at https://github.com/MasterBin-IIAU/AlphaRefine.",2020,"B. Yan,Dong Wang,Huchuan Lu,Xiaoyun Yang",Computer Science,129,74
219793067,Ocean: Object-aware Anchor-free Tracking,,2020,"Zhipeng Zhang,Houwen Peng",Computer Science,439,50
218487341,How to Train Your Energy-Based Model for Regression,"Energy-based models (EBMs) have become increasingly popular within computer vision in recent years. While they are commonly employed for generative image modeling, recent work has applied EBMs also for regression tasks, achieving state-of-the-art performance on object detection and visual tracking. Training EBMs is however known to be challenging. While a variety of different techniques have been explored for generative modeling, the application of EBMs to regression is not a well-studied problem. How EBMs should be trained for best possible regression performance is thus currently unclear. We therefore accept the task of providing the first detailed study of this problem. To that end, we propose a simple yet highly effective extension of noise contrastive estimation, and carefully compare its performance to six popular methods from literature on the tasks of 1D regression and object detection. The results of this comparison suggest that our training method should be considered the go-to approach. We also apply our method to the visual tracking task, achieving state-of-the-art performance on five datasets. Notably, our tracker achieves 63.7% AUC on LaSOT and 78.7% Success on TrackingNet. Code is available at this https URL.",2020,"F. Gustafsson,Martin Danelljan,R. Timofte,Thomas Bo Schön","Computer Science,Mathematics",32,62
215769027,A Transductive Approach for Video Object Segmentation,"Semi-supervised video object segmentation aims to separate a target object from a video sequence, given the mask in the first frame. Most of current prevailing methods utilize information from additional modules trained in other domains like optical flow and instance segmentation, and as a result they do not compete with other methods on common ground. To address this issue, we propose a simple yet strong transductive method, in which additional modules, datasets, and dedicated architectural designs are not needed. Our method takes a label propagation approach where pixel labels are passed forward based on feature similarity in an embedding space. Different from other propagation methods, ours diffuses temporal information in a holistic manner which take accounts of long-term object appearance. In addition, our method requires few additional computational overhead, and runs at a fast ~37 fps speed. Our single model with a vanilla ResNet50 backbone achieves an overall score of 72.3% on the DAVIS 2017 validation set and 63.1% on the test set. This simple yet high performing and efficient method can serve as a solid baseline that facilitates future research. Code and models are available at https://github.com/ microsoft/transductive-vos.pytorch.",2020,"Yizhuo Zhang,Zhirong Wu,Houwen Peng,Stephen Lin",Computer Science,93,53
214808684,Performance Evaluation Methodology for Long-Term Single-Object Tracking,"A long-term visual object tracking performance evaluation methodology and a benchmark are proposed. Performance measures are designed by following a long-term tracking definition to maximize the analysis probing strength. The new measures outperform existing ones in interpretation potential and in better distinguishing between different tracking behaviors. We show that these measures generalize the short-term performance measures, thus linking the two tracking problems. Furthermore, the new measures are highly robust to temporal annotation sparsity and allow annotation of sequences hundreds of times longer than in the current datasets without increasing manual annotation labor. A new challenging dataset of carefully selected sequences with many target disappearances is proposed. A new tracking taxonomy is proposed to position trackers on the short-term/long-term spectrum. The benchmark contains an extensive evaluation of the largest number of long-term trackers and comparison to state-of-the-art short-term trackers. We analyze the influence of tracking architecture implementations to long-term performance and explore various redetection strategies as well as the influence of visual model update strategies to long-term tracking drift. The methodology is integrated in the VOT toolkit to automate experimental analysis and benchmarking and to facilitate the future development of long-term trackers.",2020,"A. Lukežič,L. Č. Zajc,Tomás Vojír,Jiri Matas,M. Kristan","Medicine,Computer Science",20,0
214743010,High-Performance Long-Term Tracking With Meta-Updater,"Long-term visual tracking has drawn increasing attention because it is much closer to practical applications than short-term tracking. Most top-ranked long-term trackers adopt the offline-trained Siamese architectures, thus,they cannot benefit from great progress of short-term trackers with online update. However, it is quite risky to straightforwardly introduce online-update-based trackers to solve the long-term problem, due to long-term uncertain and noisy observations. In this work, we propose a novel offline-trained Meta-Updater to address an important but unsolved problem: Is the tracker ready for updating in the current frame? The proposed meta-updater can effectively integrate geometric, discriminative, and appearance cues in a sequential manner, and then mine the sequential information with a designed cascaded LSTM module. Our meta-updater learns a binary output to guide the tracker’s update and can be easily embedded into different trackers. This work also introduces a long-term tracking framework consisting of an online local tracker, an online verifier, a SiamRPN-based re-detector, and our meta-updater. Numerous experimental results on the VOT2018LT,VOT2019LT, OxUvALT, TLP, and LaSOT benchmarks show that our tracker performs remarkably better than other competing algorithms. Our project is available on the website: https://github.com/Daikenan/LTMU.",2020,"Kenan Dai,Yunhua Zhang,Dong Wang,Jianhua Li,Huchuan Lu,Xiaoyun Yang",Computer Science,141,57
